Context_ID,Retailer,Store,Date,Hour,Product_Number,Product_Name,Group_Count,Peer_Min_Price,Peer_Median_Price,Peer_Max_Price,Peer_Unique_Prices,Peer_Max_Min_Spread_Pct,Has_Price_Variation,Highest_Price_Group,Highest_Group_Price,Lowest_Price_Group,Lowest_Group_Price,Context_Variation_Level
Safeway_Safeway-DC1_2025-09-04_12:00 EST_19,Safeway,Safeway-DC1,2025-09-04,12:00 EST,19,"Oscar Mayer Deli Fresh Honey Smoked Turkey Breast Sliced Sandwich Lunch Meat, 9 oz.",5,4.31,4.69,4.89,4,13.457076566125291,True,1-E,4.89,1-A,4.31,Large variation
Safeway_Safeway-DC1_2025-09-04_12:00 EST_2,Safeway,Safeway-DC1,2025-09-04,12:00 EST,2,"Signature Farms Carrots, Baby-Cut, Peeled, 16 oz.",5,1.61,1.79,1.79,3,11.18012422360248,True,1-B,1.79,1-A,1.61,Large variation
Safeway_Safeway-DC1_2025-09-04_12:00 EST_20,Safeway,Safeway-DC1,2025-09-04,12:00 EST,20,"CLIF BAR Chocolate Chip Energy Bars, 10 Energy Bars, 10 x 2.4 oz.",5,19.43,21.99,21.99,3,13.175501801338129,True,1-C,21.99,1-A,19.43,Large variation
Safeway_Safeway-DC1_2025-09-04_12:00 EST_3,Safeway,Safeway-DC1,2025-09-04,12:00 EST,3,"Cheerios, 8.9 oz.",5,7.34,7.99,7.99,2,8.855585831062674,True,1-B,7.99,1-A,7.34,Moderate variation
Safeway_Safeway-DC1_2025-09-04_12:00 EST_4,Safeway,Safeway-DC1,2025-09-04,12:00 EST,4,"Kellogg's Corn Flakes, 18 oz.",5,7.01,7.99,7.99,2,13.980028530670477,True,1-B,7.99,1-A,7.01,Large variation
Safeway_Safeway-DC1_2025-09-04_12:00 EST_5,Safeway,Safeway-DC1,2025-09-04,12:00 EST,5,"Signature Select Corn Flakes, 18 oz.",5,4.99,4.99,4.99,1,0.0,False,1-A,4.99,1-A,4.99,Minimal variation
Safeway_Safeway-DC1_2025-09-04_12:00 EST_6,Safeway,Safeway-DC1,2025-09-04,12:00 EST,6,"Ruffles Original Potato Chips, Party Size, 13 oz.",5,6.47,6.99,6.99,2,8.037094281298307,True,1-B,6.99,1-A,6.47,Moderate variation
Safeway_Safeway-DC1_2025-09-04_12:00 EST_7,Safeway,Safeway-DC1,2025-09-04,12:00 EST,7,"Premium Original Saltine Crackers, Lunch Snacks, 16 oz.",5,3.99,3.99,3.99,1,0.0,False,1-A,3.99,1-A,3.99,Minimal variation
Safeway_Safeway-DC1_2025-09-04_12:00 EST_8,Safeway,Safeway-DC1,2025-09-04,12:00 EST,8,"Signature Select Saltine Crackers, 16 oz.",5,3.99,3.99,3.99,1,0.0,False,1-A,3.99,1-A,3.99,Minimal variation
Safeway_Safeway-DC1_2025-09-04_12:00 EST_9,Safeway,Safeway-DC1,2025-09-04,12:00 EST,9,"Wheat Thins Original Snacks, Whole Grain Wheat Crackers, 9 oz.",5,4.31,4.89,4.89,3,13.457076566125291,True,1-C,4.89,1-A,4.31,Large variation
Safeway_Safeway-DC2_2025-09-10_11:00 EST_10,Safeway,Safeway-DC2,2025-09-10,11:00 EST,10,"Lucerne Eggs, Large, 12 ct.",4,4.28,4.59,4.69,3,9.579439252336451,True,5-A,4.69,5-D,4.28,Moderate variation
Safeway_Safeway-DC2_2025-09-10_11:00 EST_11,Safeway,Safeway-DC2,2025-09-10,11:00 EST,11,"KIND Dark Chocolate Nuts & Sea Salt, 6 bars",4,10.99,10.99,11.59,2,5.459508644222017,True,5-D,11.59,5-A,10.99,Moderate variation
Safeway_Safeway-DC2_2025-09-10_11:00 EST_12,Safeway,Safeway-DC2,2025-09-10,11:00 EST,12,"Heinz Tomato Ketchup, 20 oz.",4,4.99,4.99,4.99,1,0.0,False,5-A,4.99,5-A,4.99,Minimal variation
Safeway_Safeway-DC2_2025-09-10_11:00 EST_13,Safeway,Safeway-DC2,2025-09-10,11:00 EST,13,"Quaker 1-Minute Oats, 42 oz.",4,6.99,6.99,6.99,1,0.0,False,5-A,6.99,5-A,6.99,Minimal variation
Safeway_Safeway-DC2_2025-09-10_11:00 EST_14,Safeway,Safeway-DC2,2025-09-10,11:00 EST,14,"Signature Select Quick One Minute Oatmeal, 42 oz.",4,5.99,6.39,6.69,3,11.686143572621036,True,5-D,6.69,5-A,5.99,Large variation
Safeway_Safeway-DC2_2025-09-10_11:00 EST_15,Safeway,Safeway-DC2,2025-09-10,11:00 EST,15,"Barilla Farfalle, Pasta Made with Durum Wheat, 16 oz.",4,2.69,2.69,2.79,2,3.7174721189591113,True,5-D,2.79,5-A,2.69,Small variation
Safeway_Safeway-DC2_2025-09-10_11:00 EST_16,Safeway,Safeway-DC2,2025-09-10,11:00 EST,16,"Signature Select Farfalle, 12 oz.",4,1.25,1.49,1.49,2,19.2,True,5-A,1.49,5-B,1.25,Large variation
Safeway_Safeway-DC2_2025-09-10_11:00 EST_17,Safeway,Safeway-DC2,2025-09-10,11:00 EST,17,"Skippy Creamy Peanut Butter, 16 oz.",4,3.99,3.99,4.06,2,1.7543859649122653,True,5-A,4.06,5-B,3.99,Minimal variation
Safeway_Safeway-DC2_2025-09-10_11:00 EST_18,Safeway,Safeway-DC2,2025-09-10,11:00 EST,18,"Mission Super Soft Taco Flour Tortillas, 10 ct.",4,4.69,4.89,4.89,2,4.2643923240938015,True,5-B,4.89,5-A,4.69,Small variation
Safeway_Safeway-DC2_2025-09-10_11:00 EST_19,Safeway,Safeway-DC2,2025-09-10,11:00 EST,19,"Oscar Mayer Deli Fresh Honey Smoked Turkey Breast Sliced Sandwich Lunch Meat, 9 oz.",4,6.99,6.99,6.99,1,0.0,False,5-A,6.99,5-A,6.99,Minimal variation
Safeway_Safeway-DC2_2025-09-10_11:00 EST_2,Safeway,Safeway-DC2,2025-09-10,11:00 EST,2,"Signature Farms Carrots, Baby-Cut, Peeled, 16 oz.",4,1.49,1.54,1.59,2,6.71140939597316,True,5-A,1.59,5-B,1.49,Moderate variation
Safeway_Safeway-DC2_2025-09-10_11:00 EST_20,Safeway,Safeway-DC2,2025-09-10,11:00 EST,20,"CLIF BAR Chocolate Chip Energy Bars, 10 Energy Bars, 10 x 2.4 oz.",4,15.99,16.99,16.99,2,6.253908692933072,True,5-B,16.99,5-A,15.99,Moderate variation
Safeway_Safeway-DC2_2025-09-10_11:00 EST_3,Safeway,Safeway-DC2,2025-09-10,11:00 EST,3,"Cheerios, 8.9 oz.",4,5.99,6.39,6.69,3,11.686143572621036,True,5-D,6.69,5-A,5.99,Large variation
Safeway_Safeway-DC2_2025-09-10_11:00 EST_4,Safeway,Safeway-DC2,2025-09-10,11:00 EST,4,"Kellogg's Corn Flakes, 18 oz.",4,3.99,3.99,3.99,1,0.0,False,5-A,3.99,5-A,3.99,Minimal variation
Safeway_Safeway-DC2_2025-09-10_11:00 EST_5,Safeway,Safeway-DC2,2025-09-10,11:00 EST,5,"Signature Select Corn Flakes, 18 oz.",4,2.99,3.49,3.69,3,23.411371237458184,True,5-D,3.69,5-A,2.99,Very large variation
Safeway_Safeway-DC2_2025-09-10_11:00 EST_6,Safeway,Safeway-DC2,2025-09-10,11:00 EST,6,"Ruffles Original Potato Chips, Party Size, 13 oz.",4,7.99,7.99,7.99,1,0.0,False,5-A,7.99,5-A,7.99,Minimal variation
Safeway_Safeway-DC2_2025-09-10_11:00 EST_7,Safeway,Safeway-DC2,2025-09-10,11:00 EST,7,"Premium Original Saltine Crackers, Lunch Snacks, 16 oz.",4,4.99,5.49,5.49,2,10.020040080160319,True,5-B,5.49,5-A,4.99,Large variation
Safeway_Safeway-DC2_2025-09-10_11:00 EST_8,Safeway,Safeway-DC2,2025-09-10,11:00 EST,8,"Signature Select Saltine Crackers, 16 oz.",4,2.99,3.69,3.69,2,23.411371237458184,True,5-B,3.69,5-A,2.99,Very large variation
Safeway_Safeway-DC2_2025-09-10_11:00 EST_9,Safeway,Safeway-DC2,2025-09-10,11:00 EST,9,"Wheat Thins Original Snacks, Whole Grain Wheat Crackers, 9 oz.",4,4.99,4.99,4.99,1,0.0,False,5-A,4.99,5-A,4.99,Minimal variation
Safeway_Safeway-WA_2025-09-04_20:00 EST_1,Safeway,Safeway-WA,2025-09-04,20:00 EST,1,Honeycrisp apples (1 apple),5,2.16,2.44,2.44,3,12.962962962962955,True,2-C,2.44,2-A,2.16,Large variation
Safeway_Safeway-WA_2025-09-04_20:00 EST_10,Safeway,Safeway-WA,2025-09-04,20:00 EST,10,"Lucerne Eggs, Large, 12 ct.",5,6.47,6.99,6.99,2,8.037094281298307,True,2-B,6.99,2-A,6.47,Moderate variation
Safeway_Safeway-WA_2025-09-04_20:00 EST_11,Safeway,Safeway-WA,2025-09-04,20:00 EST,11,"KIND Dark Chocolate Nuts & Sea Salt, 6 bars",5,10.25,10.99,11.59,3,13.073170731707314,True,2-E,11.59,2-A,10.25,Large variation
Safeway_Safeway-WA_2025-09-04_20:00 EST_12,Safeway,Safeway-WA,2025-09-04,20:00 EST,12,"Heinz Tomato Ketchup, 20 oz.",5,5.99,5.99,5.99,1,0.0,False,2-A,5.99,2-A,5.99,Minimal variation
Safeway_Safeway-WA_2025-09-04_20:00 EST_13,Safeway,Safeway-WA,2025-09-04,20:00 EST,13,"Quaker 1-Minute Oats, 42 oz.",5,8.99,8.99,9.79,2,8.898776418242479,True,2-E,9.79,2-A,8.99,Moderate variation
Safeway_Safeway-WA_2025-09-04_20:00 EST_14,Safeway,Safeway-WA,2025-09-04,20:00 EST,14,"Signature Select Quick One Minute Oatmeal, 42 oz.",5,6.47,6.99,6.99,2,8.037094281298307,True,2-B,6.99,2-A,6.47,Moderate variation
Safeway_Safeway-WA_2025-09-04_20:00 EST_15,Safeway,Safeway-WA,2025-09-04,20:00 EST,15,"Barilla Farfalle, Pasta Made with Durum Wheat, 16 oz.",5,2.99,2.99,2.99,1,0.0,False,2-A,2.99,2-A,2.99,Minimal variation
Safeway_Safeway-WA_2025-09-04_20:00 EST_16,Safeway,Safeway-WA,2025-09-04,20:00 EST,16,"Signature Select Farfalle, 12 oz.",5,1.35,1.49,1.49,2,10.370370370370363,True,2-B,1.49,2-A,1.35,Large variation
Safeway_Safeway-WA_2025-09-04_20:00 EST_17,Safeway,Safeway-WA,2025-09-04,20:00 EST,17,"Skippy Creamy Peanut Butter, 16 oz.",5,2.99,3.23,3.69,4,23.411371237458184,True,2-E,3.69,2-B,2.99,Very large variation
Safeway_Safeway-WA_2025-09-04_20:00 EST_18,Safeway,Safeway-WA,2025-09-04,20:00 EST,18,"Mission Super Soft Taco Flour Tortillas, 10 ct.",5,2.99,2.99,2.99,1,0.0,False,2-A,2.99,2-A,2.99,Minimal variation
Safeway_Safeway-WA_2025-09-04_20:00 EST_19,Safeway,Safeway-WA,2025-09-04,20:00 EST,19,"Oscar Mayer Deli Fresh Honey Smoked Turkey Breast Sliced Sandwich Lunch Meat, 9 oz.",5,4.31,4.69,4.89,4,13.457076566125291,True,2-E,4.89,2-A,4.31,Large variation
Safeway_Safeway-WA_2025-09-04_20:00 EST_2,Safeway,Safeway-WA,2025-09-04,20:00 EST,2,"Signature Farms Carrots, Baby-Cut, Peeled, 16 oz.",5,1.61,1.79,1.79,3,11.18012422360248,True,2-B,1.79,2-A,1.61,Large variation
Safeway_Safeway-WA_2025-09-04_20:00 EST_20,Safeway,Safeway-WA,2025-09-04,20:00 EST,20,"CLIF BAR Chocolate Chip Energy Bars, 10 Energy Bars, 10 x 2.4 oz.",5,19.43,21.99,21.99,3,13.175501801338129,True,2-C,21.99,2-A,19.43,Large variation
Safeway_Safeway-WA_2025-09-04_20:00 EST_3,Safeway,Safeway-WA,2025-09-04,20:00 EST,3,"Cheerios, 8.9 oz.",5,7.34,7.99,7.99,2,8.855585831062674,True,2-B,7.99,2-A,7.34,Moderate variation
Safeway_Safeway-WA_2025-09-04_20:00 EST_4,Safeway,Safeway-WA,2025-09-04,20:00 EST,4,"Kellogg's Corn Flakes, 18 oz.",5,7.01,7.99,7.99,2,13.980028530670477,True,2-B,7.99,2-A,7.01,Large variation
Safeway_Safeway-WA_2025-09-04_20:00 EST_5,Safeway,Safeway-WA,2025-09-04,20:00 EST,5,"Signature Select Corn Flakes, 18 oz.",5,4.99,4.99,4.99,1,0.0,False,2-A,4.99,2-A,4.99,Minimal variation
Safeway_Safeway-WA_2025-09-04_20:00 EST_6,Safeway,Safeway-WA,2025-09-04,20:00 EST,6,"Ruffles Original Potato Chips, Party Size, 13 oz.",5,6.47,6.99,6.99,2,8.037094281298307,True,2-B,6.99,2-A,6.47,Moderate variation
Safeway_Safeway-WA_2025-09-04_20:00 EST_7,Safeway,Safeway-WA,2025-09-04,20:00 EST,7,"Premium Original Saltine Crackers, Lunch Snacks, 16 oz.",5,3.99,3.99,3.99,1,0.0,False,2-A,3.99,2-A,3.99,Minimal variation
Safeway_Safeway-WA_2025-09-04_20:00 EST_8,Safeway,Safeway-WA,2025-09-04,20:00 EST,8,"Signature Select Saltine Crackers, 16 oz.",5,3.99,3.99,3.99,1,0.0,False,2-A,3.99,2-A,3.99,Minimal variation
Safeway_Safeway-WA_2025-09-04_20:00 EST_9,Safeway,Safeway-WA,2025-09-04,20:00 EST,9,"Wheat Thins Original Snacks, Whole Grain Wheat Crackers, 9 oz.",5,4.31,4.89,4.89,3,13.457076566125291,True,2-C,4.89,2-A,4.31,Large variation
Target_Target-MN_2025-09-08_13:00 EST_1,Target,Target-MN,2025-09-08,13:00 EST,1,Honeycrisp apples (1 apple),7,1.79,1.79,1.91,3,6.703910614525133,True,3-G,1.91,3-C,1.79,Moderate variation
Target_Target-MN_2025-09-08_13:00 EST_10,Target,Target-MN,2025-09-08,13:00 EST,10,"Market Pantry Eggs, Large 12 ct.",7,2.99,2.99,2.99,1,0.0,False,3-A,2.99,3-A,2.99,Minimal variation
Target_Target-MN_2025-09-08_13:00 EST_11,Target,Target-MN,2025-09-08,13:00 EST,11,"CLIF Bar Chocolate Chip Energy Bars, 10 Energy Bars, 10 x 2.4 oz.",7,13.99,14.49,14.99,3,7.147962830593281,True,3-E,14.99,3-A,13.99,Moderate variation
Target_Target-MN_2025-09-08_13:00 EST_12,Target,Target-MN,2025-09-08,13:00 EST,12,"KIND Dark Chocolate Nuts & Sea Salt, 6 bars, 6 x 8 oz.",7,8.99,8.99,9.59,2,6.674082313681865,True,3-G,9.59,3-A,8.99,Moderate variation
Target_Target-MN_2025-09-08_13:00 EST_13,Target,Target-MN,2025-09-08,13:00 EST,13,"Heinz Tomato Ketchup, 20 oz.",7,3.69,3.99,3.99,2,8.130081300813014,True,3-A,3.99,3-E,3.69,Moderate variation
Target_Target-MN_2025-09-08_13:00 EST_14,Target,Target-MN,2025-09-08,13:00 EST,14,"Skippy Creamy Peanut Butter, 16 oz.",7,3.79,3.79,3.99,2,5.277044854881271,True,3-E,3.99,3-A,3.79,Moderate variation
Target_Target-MN_2025-09-08_13:00 EST_15,Target,Target-MN,2025-09-08,13:00 EST,15,"Quaker 1-Minute Oats, 42 oz.",7,5.99,5.99,6.69,3,11.686143572621036,True,3-E,6.69,3-A,5.99,Large variation
Target_Target-MN_2025-09-08_13:00 EST_16,Target,Target-MN,2025-09-08,13:00 EST,16,"Good & Gather Quick Oats, 42 oz.",7,4.99,4.99,4.99,1,0.0,False,3-A,4.99,3-A,4.99,Minimal variation
Target_Target-MN_2025-09-08_13:00 EST_17,Target,Target-MN,2025-09-08,13:00 EST,17,"Barilla Penne, Non-GMO Pasta Made with Durum Wheat, 16 oz.",7,1.69,1.99,1.99,2,17.751479289940832,True,3-A,1.99,3-E,1.69,Large variation
Target_Target-MN_2025-09-08_13:00 EST_18,Target,Target-MN,2025-09-08,13:00 EST,18,"Good & Gather Enriched Macaroni Product, Farfalle, 16 oz.",7,1.19,1.39,1.43,3,20.168067226890756,True,3-G,1.43,3-E,1.19,Very large variation
Target_Target-MN_2025-09-08_13:00 EST_19,Target,Target-MN,2025-09-08,13:00 EST,19,"Mission Super Soft Taco Flour Tortillas, 10 ct.",7,2.99,2.99,2.99,1,0.0,False,3-A,2.99,3-A,2.99,Minimal variation
Target_Target-MN_2025-09-08_13:00 EST_2,Target,Target-MN,2025-09-08,13:00 EST,2,"Good & Gather Baby-Cut Carrots, 16 oz.",7,1.69,1.79,1.99,3,17.751479289940832,True,3-B,1.99,3-A,1.69,Large variation
Target_Target-MN_2025-09-08_13:00 EST_20,Target,Target-MN,2025-09-08,13:00 EST,20,"Oscar Mayer Deli Fresh Honey Smoked Turkey Breast Sliced Sandwich Lunch Meat, 9 oz.",7,4.99,4.99,5.79,3,16.03206412825651,True,3-G,5.79,3-A,4.99,Large variation
Target_Target-MN_2025-09-08_13:00 EST_5,Target,Target-MN,2025-09-08,13:00 EST,5,"Ruffles Original Potato Chips, Party Size, 13 oz.",7,7.59,7.69,7.99,3,5.27009222661397,True,3-E,7.99,3-C,7.59,Moderate variation
Target_Target-MN_2025-09-08_13:00 EST_6,Target,Target-MN,2025-09-08,13:00 EST,6,"Wheat Thins Original Snacks, Whole Grain Wheat Crackers, 8.5 oz.",7,3.99,3.99,4.59,2,15.037593984962397,True,3-G,4.59,3-A,3.99,Large variation
Target_Target-MN_2025-09-08_13:00 EST_7,Target,Target-MN,2025-09-08,13:00 EST,7,"Premium Original Saltine Crackers, Lunch Snacks, 16 oz.",7,3.99,3.99,4.59,2,15.037593984962397,True,3-G,4.59,3-A,3.99,Large variation
Target_Target-MN_2025-09-08_13:00 EST_8,Target,Target-MN,2025-09-08,13:00 EST,8,"Market Pantry Crackers, Saltine, 16 oz.",7,1.99,1.99,1.99,1,0.0,False,3-A,1.99,3-A,1.99,Minimal variation
Target_Target-MN_2025-09-08_13:00 EST_9,Target,Target-MN,2025-09-08,13:00 EST,9,"General Mills Cheerios, 8.09 oz.",7,3.99,3.99,4.59,2,15.037593984962397,True,3-E,4.59,3-A,3.99,Large variation
Target_Target-OH_2025-09-09_16:00 EST_1,Target,Target-OH,2025-09-09,16:00 EST,1,Honeycrisp apples (1 apple),4,1.79,1.8,1.91,3,6.703910614525133,True,4-D,1.91,4-B,1.79,Moderate variation
Target_Target-OH_2025-09-09_16:00 EST_10,Target,Target-OH,2025-09-09,16:00 EST,10,"Market Pantry Eggs, Large 12 ct.",4,2.99,2.99,2.99,1,0.0,False,4-A,2.99,4-A,2.99,Minimal variation
Target_Target-OH_2025-09-09_16:00 EST_11,Target,Target-OH,2025-09-09,16:00 EST,11,"CLIF Bar Chocolate Chip Energy Bars, 10 Energy Bars, 10 x 2.4 oz.",4,13.99,14.74,14.99,3,7.147962830593281,True,4-C,14.99,4-A,13.99,Moderate variation
Target_Target-OH_2025-09-09_16:00 EST_12,Target,Target-OH,2025-09-09,16:00 EST,12,"KIND Dark Chocolate Nuts & Sea Salt, 6 bars, 6 x 8 oz.",4,8.99,8.99,9.59,2,6.674082313681865,True,4-D,9.59,4-A,8.99,Moderate variation
Target_Target-OH_2025-09-09_16:00 EST_13,Target,Target-OH,2025-09-09,16:00 EST,13,"Heinz Tomato Ketchup, 20 oz.",4,3.69,3.99,3.99,2,8.130081300813014,True,4-A,3.99,4-C,3.69,Moderate variation
Target_Target-OH_2025-09-09_16:00 EST_14,Target,Target-OH,2025-09-09,16:00 EST,14,"Skippy Creamy Peanut Butter, 16 oz.",4,2.99,3.24,3.59,3,20.06688963210701,True,4-D,3.59,4-A,2.99,Very large variation
Target_Target-OH_2025-09-09_16:00 EST_15,Target,Target-OH,2025-09-09,16:00 EST,15,"Quaker 1-Minute Oats, 42 oz.",4,5.99,6.29,6.69,3,11.686143572621036,True,4-C,6.69,4-A,5.99,Large variation
Target_Target-OH_2025-09-09_16:00 EST_16,Target,Target-OH,2025-09-09,16:00 EST,16,"Good & Gather Quick Oats, 42 oz.",4,4.99,4.99,4.99,1,0.0,False,4-A,4.99,4-A,4.99,Minimal variation
Target_Target-OH_2025-09-09_16:00 EST_17,Target,Target-OH,2025-09-09,16:00 EST,17,"Barilla Penne, Non-GMO Pasta Made with Durum Wheat, 16 oz.",4,1.69,1.99,1.99,2,17.751479289940832,True,4-A,1.99,4-C,1.69,Large variation
Target_Target-OH_2025-09-09_16:00 EST_18,Target,Target-OH,2025-09-09,16:00 EST,18,"Good & Gather Enriched Macaroni Product, Farfalle, 16 oz.",4,1.19,1.39,1.43,3,20.168067226890756,True,4-D,1.43,4-C,1.19,Very large variation
Target_Target-OH_2025-09-09_16:00 EST_19,Target,Target-OH,2025-09-09,16:00 EST,19,"Mission Super Soft Taco Flour Tortillas, 10 ct.",4,2.99,2.99,2.99,1,0.0,False,4-A,2.99,4-A,2.99,Minimal variation
Target_Target-OH_2025-09-09_16:00 EST_2,Target,Target-OH,2025-09-09,16:00 EST,2,"Good & Gather Baby-Cut Carrots, 16 oz.",4,1.69,1.69,1.79,2,5.917159763313615,True,4-D,1.79,4-A,1.69,Moderate variation
Target_Target-OH_2025-09-09_16:00 EST_20,Target,Target-OH,2025-09-09,16:00 EST,20,"Oscar Mayer Deli Fresh Honey Smoked Turkey Breast Sliced Sandwich Lunch Meat, 9 oz.",4,4.99,5.29,5.79,3,16.03206412825651,True,4-D,5.79,4-A,4.99,Large variation
Target_Target-OH_2025-09-09_16:00 EST_4,Target,Target-OH,2025-09-09,16:00 EST,4,"Good & Gather Frosty Flakes Cereal, 12 oz.",4,3.99,3.99,3.99,1,0.0,False,4-A,3.99,4-A,3.99,Minimal variation
Target_Target-OH_2025-09-09_16:00 EST_5,Target,Target-OH,2025-09-09,16:00 EST,5,"Ruffles Original Potato Chips, Party Size, 13 oz.",4,7.59,7.84,7.99,3,5.27009222661397,True,4-C,7.99,4-B,7.59,Moderate variation
Target_Target-OH_2025-09-09_16:00 EST_6,Target,Target-OH,2025-09-09,16:00 EST,6,"Wheat Thins Original Snacks, Whole Grain Wheat Crackers, 8.5 oz.",4,3.99,3.99,4.59,2,15.037593984962397,True,4-D,4.59,4-A,3.99,Large variation
Target_Target-OH_2025-09-09_16:00 EST_7,Target,Target-OH,2025-09-09,16:00 EST,7,"Premium Original Saltine Crackers, Lunch Snacks, 16 oz.",4,3.99,4.29,4.69,3,17.543859649122812,True,4-D,4.69,4-A,3.99,Large variation
Target_Target-OH_2025-09-09_16:00 EST_8,Target,Target-OH,2025-09-09,16:00 EST,8,"Market Pantry Crackers, Saltine, 16 oz.",4,1.99,1.99,1.99,1,0.0,False,4-A,1.99,4-A,1.99,Minimal variation
Target_Target-OH_2025-09-09_16:00 EST_9,Target,Target-OH,2025-09-09,16:00 EST,9,"General Mills Cheerios, 8.09 oz.",4,3.99,4.29,4.59,2,15.037593984962397,True,4-C,4.59,4-A,3.99,Large variation
